number,kind,state,merged,topic,created,labels,title,s1_top,status,p_status,status_second,p_status_second,tested,p_tested,priority,priority_score,priority_raw,evidence,batch,state_chars
413,issue,closed,,parser_binary,2016-06-30,unconfirmed,SSL + base64 = wrong base64 received by server,defect_current,matches_js_client,0.95,insufficient_evidence,0.03,False,0.04,Routine,0.51,"{""0"": 0.52, ""1"": 0.45, ""2"": 0.03, ""3"": 0}",Source/SocketIO/Engine/SocketEnginePollable.swift:150,s2a-batch-18,12324
418,pr,closed,no,engine_transport,2016-07-07,,Upgraded to Swift 3.0,pr_functional,not_applicable,0.87,already_addressed,0.09,False,0.04,Routine,0.01,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}",Package.swift:1,s2a-batch-10,49017
419,issue,closed,,engine_transport,2016-07-08,enhancement|wontfix,Allow to specify a custom subclass of WebSocket,feature_request,not_applicable,0.91,still_applicable,0.08,False,0.04,Routine,0.04,"{""0"": 0.98, ""1"": 0.02, ""2"": 0, ""3"": 0}",Source/SocketIO/Util/SocketExtensions.swift:114,s2a-batch-10,49017
421,issue,open,,engine_transport,2016-07-13,bug|enhancement|on hold,WebSocket doesn't connect through proxy,defect_current,not_applicable,0.93,already_addressed,0.06,False,0.05,Routine,0.45,"{""0"": 0.61, ""1"": 0.33, ""2"": 0.05, ""3"": 0.01}",README.md:5,s2a-batch-11,24329
442,issue,open,,reconnect,2016-08-03,bug|unconfirmed,Reconnect Events stop firing once the socket is disconnected and connected again.,defect_current,already_addressed,0.74,still_applicable,0.15,True,0.58,Important,1.43,"{""0"": 0.02, ""1"": 0.54, ""2"": 0.44, ""3"": 0}",Tests/TestSocketIO/E2E/JSParityE2ETest.swift:586,s2a-batch-20,30206
444,issue,closed,,threading_memory,2016-08-05,,(SIGTRAP) TRAP_BRKPT,defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,1.03,"{""0"": 0.4, ""1"": 0.28, ""2"": 0.22, ""3"": 0.1}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-25,22723
446,issue,closed,,threading_memory,2016-08-08,,SEGV_MAPERR: App crashes,defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,1.27,"{""0"": 0.3, ""1"": 0.29, ""2"": 0.25, ""3"": 0.16}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-25,22723
448,issue,closed,,tls_security,2016-08-09,,App crashes when I receive huge data from server,defect_current,already_addressed,0.98,still_applicable,0.02,False,0.36,High,1.65,"{""0"": 0.03, ""1"": 0.37, ""2"": 0.53, ""3"": 0.07}",Source/SocketIO/Engine/Transport/SocketWebSocketOptions.swift:11,s2a-batch-28,17504
452,issue,closed,,reconnect,2016-08-11,,"Re-using socket after seeing NSPOSIXErrorDomain, code: 57.",defect_current,not_applicable,1,still_applicable,0,False,0.03,Routine,0.53,"{""0"": 0.54, ""1"": 0.4, ""2"": 0.06, ""3"": 0}",Source/SocketIO/Engine/Transport/URLSessionWebSocketTransport.swift:4,s2a-batch-20,30206
460,issue,closed,,threading_memory,2016-08-20,,Crash EXC_BAD_ACCESS KERN_INVALID_ADDRESS,defect_current,not_applicable,0.99,already_addressed,0.01,False,0.02,High,1.52,"{""0"": 0.17, ""1"": 0.31, ""2"": 0.36, ""3"": 0.16}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-25,22723
461,issue,closed,,threading_memory,2016-08-20,,CoreFoundation crash EXC_BAD_ACCESS KERN_INVALID_ADDRESS,defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.94,"{""0"": 0.39, ""1"": 0.34, ""2"": 0.19, ""3"": 0.08}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-25,22723
465,issue,open,,engine_transport,2016-08-23,,Engine URLSession became invalid,defect_current,already_addressed,0.96,still_applicable,0.04,True,0.74,Important,1.19,"{""0"": 0.1, ""1"": 0.63, ""2"": 0.26, ""3"": 0.01}",Source/SocketIO/Engine/SocketEngine.swift:957,s2a-batch-11,24329
470,issue,closed,,api_config,2016-08-27,enhancement|done,Possibility to reconnect with a different URL,feature_request,still_applicable,0.87,matches_js_client,0.13,False,0.03,Routine,0.53,"{""0"": 0.51, ""1"": 0.45, ""2"": 0.04, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:62,s2a-batch-05,28807
478,issue,closed,,threading_memory,2016-09-01,,Strange crash everytime on iPhone 4S,defect_fixed_or_obsolete,not_applicable,0.94,already_addressed,0.06,False,0.02,Routine,0.25,"{""0"": 0.8, ""1"": 0.16, ""2"": 0.03, ""3"": 0.01}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-25,22723
488,issue,closed,,parser_binary,2016-09-10,,Send request body when connecting socket,feature_request,matches_js_client,0.78,still_applicable,0.21,False,0.03,Routine,0.02,"{""0"": 0.98, ""1"": 0.02, ""2"": 0, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:421,s2a-batch-18,12324
489,pr,closed,no,engine_transport,2016-09-11,,Propagate websocket connected event to SocketIOClientStatus when forced websocket connection,pr_functional,already_addressed,0.38,still_applicable,0.3,False,0.45,Important,0.82,"{""0"": 0.28, ""1"": 0.63, ""2"": 0.09, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:1103,s2a-batch-11,24329
491,issue,closed,,other,2016-09-14,,Double connect on the server,defect_current,already_addressed,0.63,matches_js_client,0.36,True,0.56,Important,1.05,"{""0"": 0.2, ""1"": 0.5599999999999999, ""2"": 0.23, ""3"": 0.01}",Source/SocketIO/Client/SocketIOClient.swift:290,s2a-batch-15,19879
495,issue,closed,,engine_transport,2016-09-16,,Detailed description on releases?,docs_gap,already_addressed,0.71,insufficient_evidence,0.22,False,0.03,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",CHANGELOG.md:6,s2a-batch-11,24329
511,issue,closed,,parser_binary,2016-09-23,,Nested JSON objects received as NSString,defect_current,not_applicable,0.77,already_addressed,0.16,False,0.05,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",Source/SocketIO/Parse/SocketParsable.swift:176,s2a-batch-18,12324
515,pr,closed,no,threading_memory,2016-09-27,,Fix crash,defect_current,not_applicable,0.98,already_addressed,0.02,False,0.02,Routine,0.62,"{""0"": 0.54, ""1"": 0.32, ""2"": 0.11, ""3"": 0.03}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-25,22723
517,issue,closed,,reconnect,2016-09-27,,How to cancel in-flight emitWithAck,feature_request,matches_js_client,0.64,already_addressed,0.26,False,0.04,Important,1.17,"{""0"": 0.12, ""1"": 0.59, ""2"": 0.28, ""3"": 0.01}",Source/SocketIO/Client/SocketIOClient.swift:1736,s2a-batch-21,26209
519,issue,closed,,tls_security,2016-09-28,,can no longer override isvalid on SSLSecurity,feature_request,not_applicable,0.88,still_applicable,0.07,False,0.2,Routine,0.18,"{""0"": 0.84, ""1"": 0.15, ""2"": 0.01, ""3"": 0}",Documentation/NativeWebSocketTransport.md:35,s2a-batch-28,17504
520,pr,closed,no,tls_security,2016-09-28,,Update SSLSecurity.swift,pr_functional,not_applicable,0.99,already_addressed,0.01,False,0.13,Routine,0.1,"{""0"": 0.92, ""1"": 0.07, ""2"": 0.01, ""3"": 0}",Source/SocketIO/Util/SocketExtensions.swift:125,s2a-batch-28,17504
521,issue,closed,,reconnect,2016-09-29,bug,Crash problem,defect_current,already_addressed,1,not_applicable,0,False,0.04,High,1.98,"{""0"": 0.05, ""1"": 0.22, ""2"": 0.43, ""3"": 0.3}",Source/SocketIO/Manager/SocketManager.swift:564,s2a-batch-21,26209
524,pr,closed,no,other,2016-09-29,,change sslsecurity and isvalid to open,pr_functional,not_applicable,0.99,already_addressed,0.01,False,0.04,Routine,0.48,"{""0"": 0.64, ""1"": 0.25, ""2"": 0.09, ""3"": 0.02}",Source/SocketIO/Security/SocketServerTrustEvaluator.swift:5,s2a-batch-15,19879
531,issue,open,,threading_memory,2016-10-05,in progress|unconfirmed,Multiple data races found by Xcode Thread Sanitizer,defect_current,already_addressed,0.8,insufficient_evidence,0.17,False,0.03,Important,1.49,"{""0"": 0.05, ""1"": 0.46, ""2"": 0.45, ""3"": 0.04}",Source/SocketIO/Engine/SocketEnginePollable.swift:200,s2a-batch-25,22723
533,issue,closed,,ack,2016-10-05,,No visible @interface for SocketIOClient delcares emitWithAck:withItems,docs_gap,not_applicable,1,insufficient_evidence,0,False,0.03,Routine,0.01,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}",CHANGELOG.md:150,s2a-batch-01,23628
536,issue,closed,,tls_security,2016-10-07,,UnsafeMutablePointer.moveInitializeFrom with negative count,defect_current,insufficient_evidence,0.69,not_applicable,0.29,False,0.04,Important,0.83,"{""0"": 0.36, ""1"": 0.48, ""2"": 0.13, ""3"": 0.03}",README.md:5,s2a-batch-28,17504
540,issue,closed,,other,2016-10-14,,Q: WatchOS 3 support,feature_request,already_addressed,0.69,still_applicable,0.23,False,0.04,Routine,0.06,"{""0"": 0.95, ""1"": 0.04, ""2"": 0.01, ""3"": 0}",Package.swift:6,s2a-batch-15,19879
549,issue,closed,,threading_memory,2016-10-21,,Crash due to race condition in SocketEngine.createWebsocketAndConnect,defect_fixed_or_obsolete,already_addressed,0.97,insufficient_evidence,0.02,False,0.03,High,1.98,"{""0"": 0.03, ""1"": 0.19, ""2"": 0.57, ""3"": 0.21}",Source/SocketIO/Engine/SocketEngine.swift:379,s2a-batch-26,23060
552,issue,open,,threading_memory,2016-10-25,,Crash on init because of sessionDelegate parameter,defect_current,not_applicable,0.99,already_addressed,0.01,False,0.02,Routine,0.54,"{""0"": 0.57, ""1"": 0.32, ""2"": 0.09, ""3"": 0.02}",CHANGELOG.md:150,s2a-batch-26,23060
554,issue,open,,ack,2016-10-28,,emitWithAck and timeout behavior,defect_current,already_addressed,0.79,matches_js_client,0.15,True,0.52,Routine,0.33,"{""0"": 0.7, ""1"": 0.28, ""2"": 0.02, ""3"": 0}",Tests/TestSocketIO/SocketSideEffectTest.swift:36,s2a-batch-01,23628
555,issue,closed,,ack,2016-10-28,,Objective-C - emitWithAck:with:timeOutAfter:callback selector not available,docs_gap,not_applicable,1,matches_js_client,0,False,0.03,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",CHANGELOG.md:150,s2a-batch-01,23628
564,issue,open,,engine_transport,2016-11-07,,"(URGENT)(Objective-C) After successful connection, Emit is causing Disconnection with server.",defect_current,not_applicable,1,already_addressed,0,False,0.04,Routine,0.76,"{""0"": 0.44, ""1"": 0.39, ""2"": 0.15, ""3"": 0.02}",CHANGELOG.md:150,s2a-batch-11,24329
565,issue,open,,ack,2016-11-07,,acknowledgement times out on simulatneous multiple socket.emitwithack or socket.onany,defect_current,already_addressed,0.89,still_applicable,0.07,False,0.15,High,1.61,"{""0"": 0.02, ""1"": 0.37, ""2"": 0.59, ""3"": 0.02}",Source/SocketIO/Client/SocketIOClient.swift:2036,s2a-batch-01,23628
571,issue,closed,,api_config,2016-11-09,,Can't emit a dictionary,feature_request,matches_js_client,0.75,already_addressed,0.2,True,0.73,Routine,0.03,"{""0"": 0.97, ""1"": 0.03, ""2"": 0, ""3"": 0}",Tests/TestSocketIO/SocketBasicPacketTest.swift:49,s2a-batch-05,28807
572,pr,closed,no,other,2016-11-09,,Non array data,pr_functional,already_addressed,0.82,matches_js_client,0.16,True,0.67,Routine,0.55,"{""0"": 0.53, ""1"": 0.39, ""2"": 0.08, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:598,s2a-batch-15,19879
577,issue,closed,,api_config,2016-11-16,,No visible @interface for 'SocketIOClient' ...  -- help needed,docs_gap,not_applicable,0.98,still_applicable,0.01,False,0.03,Routine,0.13,"{""0"": 0.9, ""1"": 0.08, ""2"": 0.02, ""3"": 0}",CHANGELOG.md:150,s2a-batch-05,28807
583,issue,closed,,engine_transport,2016-11-24,,fatal error: cannot increment beyond endIndex,defect_current,already_addressed,0.62,insufficient_evidence,0.2,False,0.46,High,1.65,"{""0"": 0.02, ""1"": 0.36, ""2"": 0.56, ""3"": 0.06}",Source/SocketIO/Engine/SocketEnginePacketCodec.swift:54,s2a-batch-11,24329
587,issue,closed,,ack,2016-11-28,enhancement,Timeout interface.,feature_request,already_addressed,0.99,matches_js_client,0.01,True,0.84,Important,1.25,"{""0"": 0.08, ""1"": 0.6, ""2"": 0.32, ""3"": 0}",Source/SocketIO/Client/SocketIOClientOption.swift:81,s2a-batch-02,10512
589,issue,closed,,reconnect,2016-12-01,,Socket is not working in 3G always reconnects coming,defect_current,insufficient_evidence,0.93,still_applicable,0.04,False,0.02,Routine,0.42,"{""0"": 0.61, ""1"": 0.37, ""2"": 0.02, ""3"": 0}",none,s2a-batch-21,26209
592,issue,closed,,threading_memory,2016-12-07,,"App crashes as ""doDisconnect (error) (WebSocket.swift:153)""",defect_current,not_applicable,0.99,already_addressed,0.01,False,0.03,Important,1.11,"{""0"": 0.26, ""1"": 0.43, ""2"": 0.25, ""3"": 0.06}",Source/SocketIO/Engine/Transport/URLSessionWebSocketTransport.swift:68,s2a-batch-26,23060
605,issue,open,,reconnect,2017-01-12,,Multi connection after reconnected,defect_current,not_applicable,0.5,matches_js_client,0.4,False,0.03,Important,1,"{""0"": 0.2, ""1"": 0.6, ""2"": 0.19, ""3"": 0.01}",Source/SocketIO/Manager/SocketManager.swift:281,s2a-batch-21,26209
610,issue,closed,,api_config,2017-01-26,,Log option affecting all sockets,support_question,still_applicable,0.99,already_addressed,0.01,False,0.08,Important,0.77,"{""0"": 0.32, ""1"": 0.59, ""2"": 0.09, ""3"": 0}",Source/SocketIO/Util/SocketLogger.swift:73,s2a-batch-05,28807
613,issue,open,,api_config,2017-01-29,,"{""code"":1,""message"":""Session ID unknown""} while connecting users to socket.io for first attempt.",defect_current,matches_js_client,0.81,not_applicable,0.15,True,0.55,Important,0.87,"{""0"": 0.3, ""1"": 0.54, ""2"": 0.15, ""3"": 0.01}",Tests/TestSocketIO/E2E/EngineRemainingParityE2ETest.swift:406,s2a-batch-05,28807
615,issue,closed,,api_config,2017-01-31,,Upload Image/Video via stream using Socket.io-stream server,feature_request,insufficient_evidence,0.77,still_applicable,0.21,False,0.03,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",none,s2a-batch-05,28807
617,issue,closed,,engine_transport,2017-02-07,,crash on handle event,defect_current,not_applicable,0.99,already_addressed,0.01,False,0.05,Routine,0.74,"{""0"": 0.52, ""1"": 0.29, ""2"": 0.13, ""3"": 0.06}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-11,24329
620,pr,closed,no,api_config,2017-02-22,,synchronized call to mutating ackHandlers.executeAck,defect_current,already_addressed,0.42,still_applicable,0.3,False,0.14,High,1.46,"{""0"": 0.06, ""1"": 0.45, ""2"": 0.46, ""3"": 0.03}",Source/SocketIO/Ack/SocketAckManager.swift:113,s2a-batch-05,28807
621,pr,closed,no,threading_memory,2017-02-23,,Thread safety issues,defect_current,already_addressed,1,matches_js_client,0,True,0.9,High,1.47,"{""0"": 0.12, ""1"": 0.37, ""2"": 0.43, ""3"": 0.08}",Source/SocketIO/Client/SocketIOClient.swift:140,s2a-batch-26,23060
630,issue,open,,engine_transport,2017-03-07,,Received the same event twice from one socketClient,defect_current,already_addressed,0.96,insufficient_evidence,0.02,True,0.6,Important,1.1,"{""0"": 0.09, ""1"": 0.73, ""2"": 0.18, ""3"": 0}",Tests/TestSocketIO/SocketNativeEngineTest.swift:341,s2a-batch-11,24329
633,issue,closed,,threading_memory,2017-03-16,,Creating a SocketIOClient consumes a reference from the sessionDelegate,defect_fixed_or_obsolete,not_applicable,0.93,already_addressed,0.07,False,0.03,Routine,0.45,"{""0"": 0.66, ""1"": 0.25, ""2"": 0.08, ""3"": 0.01}",CHANGELOG.md:150,s2a-batch-26,23060
638,issue,open,,other,2017-03-30,,Update the latest version can not submit parameters and receive the return data,defect_current,insufficient_evidence,0.97,matches_js_client,0.01,False,0.03,Routine,0.54,"{""0"": 0.53, ""1"": 0.42, ""2"": 0.05, ""3"": 0}",none,s2a-batch-15,19879
639,issue,open,,threading_memory,2017-03-30,,SocketIO crash when server disconnect client,defect_current,matches_js_client,0.73,already_addressed,0.26,False,0.28,Routine,0.82,"{""0"": 0.42, ""1"": 0.38, ""2"": 0.16, ""3"": 0.04}",Source/SocketIO/Client/SocketIOClient.swift:1470,s2a-batch-26,23060
644,issue,closed,,threading_memory,2017-04-05,,Multiple connections but only one receive events,defect_fixed_or_obsolete,not_applicable,0.71,already_addressed,0.29,False,0.03,Important,1.08,"{""0"": 0.23, ""1"": 0.49, ""2"": 0.26, ""3"": 0.02}",Source/SocketIO/Engine/Transport/URLSessionWebSocketTransport.swift:68,s2a-batch-26,23060
646,issue,closed,,threading_memory,2017-04-09,,WebSocket.cleanupStream() crash and more.,defect_current,not_applicable,0.98,already_addressed,0.02,False,0.03,Important,1.26,"{""0"": 0.25, ""1"": 0.33, ""2"": 0.33, ""3"": 0.09}",Source/SocketIO/Engine/Transport/URLSessionWebSocketTransport.swift:79,s2a-batch-26,23060
650,issue,closed,,other,2017-04-11,,我会监听到多次一样的推送，怎么回事,defect_fixed_or_obsolete,insufficient_evidence,0.98,not_applicable,0.02,False,0.04,Important,0.71,"{""0"": 0.34, ""1"": 0.61, ""2"": 0.05, ""3"": 0}",none,s2a-batch-15,19879
656,issue,open,,reconnect,2017-04-24,,socket looses connection as soon as it is connected. Sometimes keeps connected for sometime then again disconnects,defect_current,not_applicable,0.83,insufficient_evidence,0.17,False,0.03,Routine,0.22,"{""0"": 0.8, ""1"": 0.19, ""2"": 0.01, ""3"": 0}",none,s2a-batch-21,26209
661,issue,closed,,threading_memory,2017-04-26,enhancement|done,Refactor DispatchQueues so that there's less of them,feature_request,already_addressed,0.86,insufficient_evidence,0.07,False,0.02,Routine,0.09,"{""0"": 0.92, ""1"": 0.07, ""2"": 0.01, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:114,s2a-batch-27,26434
666,pr,closed,no,namespace,2017-05-04,,Update SocketIOClient.swift,pr_functional,not_applicable,0.56,still_applicable,0.22,False,0.23,Routine,0.1,"{""0"": 0.91, ""1"": 0.08, ""2"": 0.01, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:1150,s2a-batch-13,24483
667,issue,closed,,ack,2017-05-04,enhancement|done,Distinguish better when ack times out,feature_request,already_addressed,1,not_applicable,0,True,0.94,Routine,0.43,"{""0"": 0.59, ""1"": 0.39, ""2"": 0.02, ""3"": 0}",Source/SocketIO/Ack/SocketAckManager.swift:33,s2a-batch-02,10512
668,issue,closed,,other,2017-05-05,enhancement|done,Allow changes to SocketIOClientStatus of SocketIOClient to be observed,feature_request,already_addressed,1,matches_js_client,0,True,0.94,Routine,0.31,"{""0"": 0.7, ""1"": 0.28, ""2"": 0.02, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:90,s2a-batch-15,19879
669,pr,closed,no,api_config,2017-05-05,,Refactor engine,pr_functional,already_addressed,1,still_applicable,0,False,0.33,Routine,0.13,"{""0"": 0.9, ""1"": 0.08, ""2"": 0.02, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:39,s2a-batch-05,28807
670,issue,closed,,other,2017-05-06,enhancement|done,Jazzy documentaion,docs_gap,insufficient_evidence,0.44,still_applicable,0.35,False,0.03,Routine,0,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}",none,s2a-batch-16,18563
671,pr,closed,no,api_config,2017-05-06,,v9.0,pr_functional,insufficient_evidence,0.68,already_addressed,0.24,False,0.05,Routine,0.13,"{""0"": 0.9, ""1"": 0.08, ""2"": 0.02, ""3"": 0}",none,s2a-batch-06,34025
672,issue,closed,,parser_binary,2017-05-06,enhancement|done,Investigate adding support for custom SocketData classes/structs.,feature_request,already_addressed,1,insufficient_evidence,0,True,0.78,Routine,0.41,"{""0"": 0.65, ""1"": 0.28, ""2"": 0.06, ""3"": 0.01}",Source/SocketIO/Util/SocketTypes.swift:43,s2a-batch-18,12324
674,issue,closed,,reconnect,2017-05-06,,Socket IO Client doesn't connect after long delay (24hrs approx),defect_current,not_applicable,0.99,insufficient_evidence,0.01,False,0.03,Important,0.72,"{""0"": 0.37, ""1"": 0.54, ""2"": 0.09, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:56,s2a-batch-21,26209
675,issue,closed,,other,2017-05-07,enhancement|done,Client events should be in an enum,feature_request,already_addressed,1,not_applicable,0,True,0.65,Routine,0.06,"{""0"": 0.95, ""1"": 0.04, ""2"": 0.01, ""3"": 0}",Source/SocketIO/Client/SocketIOClientSpec.swift:345,s2a-batch-16,18563
677,issue,closed,,other,2017-05-07,enhancement|done,Errors in SocketData should be reported to the users.,feature_request,already_addressed,1,not_applicable,0,True,0.94,High,1.57,"{""0"": 0.07, ""1"": 0.38, ""2"": 0.45, ""3"": 0.1}",Source/SocketIO/Client/SocketIOClient.swift:629,s2a-batch-16,18563
679,issue,open,,reconnect,2017-05-10,enhancement,Client-side and server-side errors are difficult to differentiate,feature_request,already_addressed,0.94,matches_js_client,0.06,True,0.73,Routine,0.45,"{""0"": 0.59, ""1"": 0.37, ""2"": 0.04, ""3"": 0}",Source/SocketIO/Client/SocketIOClientSpec.swift:387,s2a-batch-21,26209
680,issue,closed,,api_config,2017-05-10,enhancement,Setting SocketIOClient's config value after initialization results in unusable client,feature_request,already_addressed,0.58,still_applicable,0.41,False,0.26,Important,0.87,"{""0"": 0.26, ""1"": 0.62, ""2"": 0.12, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:67,s2a-batch-06,34025
681,issue,open,,ack,2017-05-10,bug,"Client fires ""error"" event for 60 second timeout, timeout handlers >60s never fire",defect_current,still_applicable,0.84,matches_js_client,0.15,False,0.04,Important,1.23,"{""0"": 0.06, ""1"": 0.65, ""2"": 0.28, ""3"": 0.01}",Source/SocketIO/Engine/SocketEngine.swift:422,s2a-batch-02,10512
684,issue,closed,,other,2017-05-11,enhancement|done,How to include a custom authentication token AFTER connect,support_question,matches_js_client,0.65,already_addressed,0.21,True,0.65,Routine,0.35,"{""0"": 0.68, ""1"": 0.3, ""2"": 0.02, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:1131,s2a-batch-16,18563
690,issue,closed,,api_config,2017-05-18,,Can the user-agent to configure it by yourself,feature_request,still_applicable,0.54,matches_js_client,0.26,False,0.04,Routine,0.02,"{""0"": 0.98, ""1"": 0.02, ""2"": 0, ""3"": 0}",Source/SocketIO/Engine/SocketEngineSpec.swift:250,s2a-batch-06,34025
693,issue,closed,,threading_memory,2017-05-22,,EXC_BAD_ACCESS KERN_INVALID_ADDRESS,defect_fixed_or_obsolete,not_applicable,0.92,already_addressed,0.08,False,0.02,Routine,0.68,"{""0"": 0.58, ""1"": 0.23, ""2"": 0.13, ""3"": 0.06}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-27,26434
702,issue,closed,,other,2017-06-05,enhancement|patched,socket data compression,feature_request,not_applicable,0.42,still_applicable,0.37,False,0.29,Routine,0.22,"{""0"": 0.8, ""1"": 0.18, ""2"": 0.02, ""3"": 0}",Source/SocketIO/Util/SocketExtensions.swift:114,s2a-batch-16,18563
703,issue,closed,,threading_memory,2017-06-06,,SocketStringReader.read crash,defect_fixed_or_obsolete,not_applicable,0.82,already_addressed,0.17,False,0.02,Routine,1.09,"{""0"": 0.41, ""1"": 0.22, ""2"": 0.25, ""3"": 0.12}",Source/SocketIO/Engine/SocketEnginePollable.swift:327,s2a-batch-27,26434
708,issue,closed,,engine_transport,2017-06-10,,i'm getting these in my log .,insufficient_evidence,already_addressed,0.51,insufficient_evidence,0.24,False,0.11,Routine,0.64,"{""0"": 0.46, ""1"": 0.46, ""2"": 0.08, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:386,s2a-batch-12,25054
710,issue,closed,,other,2017-06-15,,Swift 4 Compatibility,feature_request,not_applicable,0.37,still_applicable,0.37,False,0.03,Routine,0.04,"{""0"": 0.97, ""1"": 0.03, ""2"": 0, ""3"": 0}",Package.swift:1,s2a-batch-16,18563
716,issue,closed,,engine_transport,2017-06-22,bug,"Crash when server returns ""404: Not Found""",defect_current,already_addressed,0.48,still_applicable,0.33,False,0.04,High,1.57,"{""0"": 0.04, ""1"": 0.42, ""2"": 0.48, ""3"": 0.06}",Source/SocketIO/Engine/SocketEnginePollable.swift:236,s2a-batch-12,25054
717,issue,closed,,other,2017-06-23,,Documentation Issues,docs_gap,not_applicable,0.95,already_addressed,0.05,False,0.06,Routine,0.01,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",README.md:5,s2a-batch-16,18563
721,issue,closed,,engine_transport,2017-06-26,enhancement,Move Starscream dependency to own repo,feature_request,already_addressed,0.67,not_applicable,0.33,False,0.03,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",README.md:5,s2a-batch-12,25054
722,issue,closed,,threading_memory,2017-06-27,,Crash in SocketAckManager with version 10.0.0,defect_current,already_addressed,0.99,insufficient_evidence,0.01,False,0.02,High,1.81,"{""0"": 0.05, ""1"": 0.26, ""2"": 0.52, ""3"": 0.17}",Source/SocketIO/Ack/SocketAckManager.swift:68,s2a-batch-27,26434
724,issue,closed,,other,2017-06-28,,"When not set nps,socket only send type 4 and not bussiness data",defect_current,matches_js_client,0.5599999999999999,already_addressed,0.42,False,0.36,Routine,0.49,"{""0"": 0.61, ""1"": 0.29, ""2"": 0.08, ""3"": 0.02}",Source/SocketIO/Manager/SocketManager.swift:54,s2a-batch-16,18563
726,issue,closed,,threading_memory,2017-06-30,,"App get crash, when connecting to invalid url string.",support_question,not_applicable,0.97,already_addressed,0.02,False,0.02,Routine,0.05,"{""0"": 0.96, ""1"": 0.04, ""2"": 0, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:231,s2a-batch-27,26434
728,issue,closed,,engine_transport,2017-07-02,,Memory leak,defect_current,not_applicable,0.51,insufficient_evidence,0.45,False,0.03,Important,0.84,"{""0"": 0.38, ""1"": 0.43, ""2"": 0.16, ""3"": 0.03}",Source/SocketIO/Client/SocketIOClient.swift:254,s2a-batch-12,25054
746,issue,closed,,reconnect,2017-07-14,,intermittent failure to reconnect,defect_current,not_applicable,0.63,insufficient_evidence,0.28,False,0.03,Important,1.06,"{""0"": 0.11, ""1"": 0.73, ""2"": 0.16, ""3"": 0}",none,s2a-batch-21,26209
758,issue,closed,,threading_memory,2017-07-27,,Thread sanitiser suggests data race issues with SocketIO,defect_current,already_addressed,0.84,not_applicable,0.15,False,0.02,Important,1.04,"{""0"": 0.28, ""1"": 0.44, ""2"": 0.24, ""3"": 0.04}",Source/SocketIO/Engine/SocketEnginePollable.swift:201,s2a-batch-27,26434
770,issue,closed,,reconnect,2017-08-09,,"Reconnecting on disconnect causes ""Session ID unknown"" error in v9.0+",defect_current,already_addressed,0.66,still_applicable,0.2,True,0.89,Important,1.23,"{""0"": 0.07, ""1"": 0.63, ""2"": 0.3, ""3"": 0}",Tests/TestSocketIO/E2E/JSParityE2ETest.swift:1741,s2a-batch-22,20287
773,issue,closed,,api_config,2017-08-16,enhancement|done,off/once method cannot be used for client events,feature_request,already_addressed,1,insufficient_evidence,0,True,0.85,Routine,0.09,"{""0"": 0.92, ""1"": 0.08, ""2"": 0, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:1516,s2a-batch-06,34025
