number,kind,state,state_reason,merged,labels,created,title,top,p_top,second,p_second
349,pr,closed,,no,,2016-04-14,How to know how many events i have registered?,feature_request,0.81,pr_non_functional,0.16
350,issue,closed,completed,,unconfirmed,2016-04-19,EmitWithAct not working with completion handler,support_question,0.99,defect_current,0.01
351,issue,closed,completed,,,2016-04-19,Website still points to old 3rd party project,docs_gap,0.81,duplicate_invalid_spam,0.09
352,issue,closed,completed,,question,2016-04-21,Does this library support compression??,support_question,0.8,feature_request,0.2
353,issue,closed,completed,,,2016-04-22,How do I know if socket connection dropped,support_question,0.88,feature_request,0.09
354,issue,closed,completed,,,2016-04-24,Why i can not connect to sever by SocketIOClient?,support_question,1,feature_request,0
355,issue,closed,completed,,,2016-04-26,SocketEnginePollable Crash Sometimes,defect_current,0.51,defect_fixed_or_obsolete,0.34
356,issue,open,,,bug|unconfirmed,2016-04-26,SocketEnginePollable Crash Sometimes,defect_current,0.98,duplicate_invalid_spam,0.01
357,issue,closed,completed,,invalid|question,2016-04-27,SocketParser.swift won't compile on Xcode 7.3,support_question,0.44,build_packaging_env,0.33
358,issue,closed,completed,,patched,2016-04-29,Always disconnected automatically,support_question,0.57,defect_fixed_or_obsolete,0.25
359,issue,closed,completed,,,2016-04-29,Weird issue while emitting and receiving data from socket swift to socket js.,support_question,0.98,defect_current,0.01
360,issue,closed,completed,,,2016-05-04,Why socket event “new message” calling multiple times ?,support_question,0.98,defect_fixed_or_obsolete,0.02
361,pr,closed,,yes,,2016-05-04,Fixing url encoding for connect params,defect_fixed_or_obsolete,0.65,pr_functional,0.34
362,pr,closed,,yes,,2016-05-04,Development,insufficient_evidence,0.49,pr_functional,0.43
363,pr,closed,,yes,,2016-05-04,Adding test case for issue #361,pr_non_functional,0.94,duplicate_invalid_spam,0.05
364,issue,closed,completed,,,2016-05-05,Attempted to create a task in a session that has been invalidated,duplicate_invalid_spam,0.97,defect_current,0.02
365,issue,closed,completed,,enhancement,2016-05-06,Socket keep on trying to connect and always fails,defect_current,0.6,defect_fixed_or_obsolete,0.2
366,issue,closed,completed,,question,2016-05-11,"What does ""currentAmount"" mean",support_question,1,insufficient_evidence,0
367,issue,closed,completed,,bug|unconfirmed,2016-05-12,Escape issue,defect_current,0.74,insufficient_evidence,0.21
368,issue,closed,completed,,,2016-05-17,socket not connecting to the server,support_question,0.92,insufficient_evidence,0.07
369,issue,closed,completed,,question,2016-05-18,socket.io and engine.io,support_question,0.97,feature_request,0.03
370,issue,closed,completed,,,2016-05-18,how to add session or other parameter during my connecting ???,support_question,1,pr_functional,0
371,issue,closed,completed,,,2016-05-19,VoIP socket getting disconnected in background.,support_question,0.99,defect_fixed_or_obsolete,0.01
372,pr,closed,,yes,,2016-05-23,Fix crash if error contains formatting strings.,defect_fixed_or_obsolete,0.4,pr_functional,0.32
373,pr,closed,,yes,,2016-05-24,Development,pr_functional,0.49,insufficient_evidence,0.42
374,issue,closed,completed,,bug|patched,2016-05-26,Error:Session ID unknown???,defect_fixed_or_obsolete,0.52,defect_current,0.43
375,issue,closed,completed,,,2016-05-26,how to remove a particular listener?,support_question,1,duplicate_invalid_spam,0
376,issue,closed,completed,,,2016-05-27,How to set a custom URL,support_question,0.99,duplicate_invalid_spam,0.01
377,issue,closed,completed,,,2016-05-27,connect to a web socket after getting a cookie,support_question,0.98,duplicate_invalid_spam,0.02
378,issue,closed,completed,,question,2016-05-28,How to force stop to reconnect loop?,support_question,0.95,defect_fixed_or_obsolete,0.03
379,issue,closed,completed,,,2016-05-30,Handling event error,support_question,0.99,defect_fixed_or_obsolete,0.01
380,pr,closed,,no,,2016-05-31,Add Proxy support for websocket,pr_functional,0.75,duplicate_invalid_spam,0.16
381,issue,closed,completed,,,2016-05-31,How do i send authorization headers?,support_question,1,insufficient_evidence,0
382,issue,closed,completed,,,2016-05-31,Anyone have any experience on how to emit the token from IOS/swift to server ?,support_question,0.99,defect_fixed_or_obsolete,0.01
383,issue,closed,completed,,unconfirmed,2016-06-01,Crash on All devices running iOS 7.x,defect_fixed_or_obsolete,0.71,defect_current,0.26
384,issue,closed,completed,,,2016-06-03,https self signed connect problem,support_question,0.99,defect_current,0.01
385,issue,open,,,unconfirmed,2016-06-04,Sometimes emit method is not working on connect,defect_current,0.99,insufficient_evidence,0.01
386,issue,closed,completed,,question,2016-06-05,Where exactly should i establish a connection to make the connection persist?,support_question,1,defect_fixed_or_obsolete,0
387,issue,closed,completed,,,2016-06-05,socket.on does not listen to the event,support_question,0.85,defect_fixed_or_obsolete,0.05
388,issue,closed,completed,,unconfirmed,2016-06-06,Getting event for Google-site-verification,support_question,0.96,duplicate_invalid_spam,0.02
389,issue,closed,completed,,question,2016-06-08,Use of base64,support_question,1,defect_fixed_or_obsolete,0
390,issue,closed,completed,,,2016-06-09,Can't find about disconnection or heartbeat,support_question,0.76,feature_request,0.14
391,issue,closed,completed,,question,2016-06-11,"Socket.on doest work , but emit does",support_question,0.94,defect_fixed_or_obsolete,0.03
392,issue,open,,,unconfirmed,2016-06-13,Socket always disconnects,support_question,0.9,defect_current,0.07
393,issue,closed,completed,,question,2016-06-13,Using socket.io-client-swift in an Objective-C framework.,support_question,0.53,build_packaging_env,0.47
394,issue,closed,completed,,,2016-06-14,IPv6-only network Support,defect_fixed_or_obsolete,0.49,support_question,0.39
395,issue,closed,completed,,enhancement|patched,2016-06-14,sessionDelegate parameter has no effect,defect_fixed_or_obsolete,0.61,defect_current,0.28
396,issue,closed,completed,,question,2016-06-14,Any plans to upgrade the code to Swift 3?,defect_fixed_or_obsolete,0.42,support_question,0.32
397,pr,closed,,no,,2016-06-16,Updated code to support Swift 2.3,build_packaging_env,0.44,defect_fixed_or_obsolete,0.35
398,pr,closed,,yes,,2016-06-16,Updated code to support Swift 2.3,defect_fixed_or_obsolete,0.65,build_packaging_env,0.19
399,pr,closed,,yes,,2016-06-17,Development,pr_functional,0.49,insufficient_evidence,0.46
400,issue,closed,completed,,,2016-06-18,How get connection parameters in server?,support_question,0.99,defect_fixed_or_obsolete,0.01
401,issue,closed,completed,,unconfirmed,2016-06-20,SSL Error using Swift 3 branch,defect_fixed_or_obsolete,0.62,support_question,0.28
402,issue,closed,completed,,wontfix|unconfirmed,2016-06-21,socket crash when network goes off or tries to reconnect,defect_current,0.7,defect_fixed_or_obsolete,0.27
403,issue,open,,,unconfirmed,2016-06-22,Network connection was lost,support_question,0.52,defect_current,0.38
404,issue,closed,completed,,unconfirmed,2016-06-23,ERROR SocketEnginePolling: Tried to do polling request when not supposed to,support_question,0.64,defect_current,0.16
405,issue,closed,completed,,,2016-06-23,ERROR SocketEnginePolling: Tried to do polling request when not supposed to,support_question,0.87,defect_fixed_or_obsolete,0.09
406,issue,closed,completed,,,2016-06-24,Unable to Trigger an Automatic Reconnection Attempt in v.6.1.3,defect_fixed_or_obsolete,1,pr_functional,0
407,issue,closed,completed,,,2016-06-24,"disconnect, reconnect and reconnectAttempt don't fired.",defect_fixed_or_obsolete,0.99,defect_current,0.01
408,pr,closed,,yes,,2016-06-24,Development,pr_functional,0.58,insufficient_evidence,0.29
409,issue,closed,completed,,unconfirmed,2016-06-24,Connection takes up to a minute,defect_fixed_or_obsolete,0.66,support_question,0.15
410,issue,closed,completed,,unconfirmed,2016-06-24,Error while during linking.,build_packaging_env,0.92,defect_fixed_or_obsolete,0.07
411,issue,open,,,unconfirmed,2016-06-28,"After websocket disconnected, it still call a method named error",defect_current,0.8,support_question,0.1
412,issue,closed,completed,,,2016-06-29,"I connected and joined room and also get history messages, but i cannot get  new message instantly",support_question,0.86,insufficient_evidence,0.1
413,issue,closed,completed,,unconfirmed,2016-06-30,SSL + base64 = wrong base64 received by server,defect_current,0.52,defect_fixed_or_obsolete,0.34
414,issue,closed,completed,,,2016-06-30,how to sendPing by SocketIOClient?,support_question,0.99,feature_request,0.01
415,issue,closed,completed,,unconfirmed,2016-07-04,crash on ios9+,defect_fixed_or_obsolete,0.65,defect_current,0.27
416,issue,closed,completed,,,2016-07-04,Using ack with swift,support_question,0.95,defect_fixed_or_obsolete,0.04
417,issue,closed,completed,,,2016-07-05,Private events not received.,support_question,0.92,defect_current,0.04
418,pr,closed,,no,,2016-07-07,Upgraded to Swift 3.0,pr_functional,0.4,build_packaging_env,0.24
419,issue,closed,completed,,enhancement|wontfix,2016-07-08,Allow to specify a custom subclass of WebSocket,feature_request,0.97,defect_fixed_or_obsolete,0.03
420,issue,closed,completed,,,2016-07-08,Wrapping error when importing socketIO into Objective-C project,build_packaging_env,0.89,defect_fixed_or_obsolete,0.08
421,issue,open,,,bug|enhancement|on hold,2016-07-13,WebSocket doesn't connect through proxy,defect_current,0.54,defect_fixed_or_obsolete,0.23
422,pr,closed,,yes,,2016-07-13,Enable APPLICATION_EXTENSION_API_ONLY,pr_non_functional,0.52,build_packaging_env,0.47
423,issue,closed,completed,,,2016-07-14,Hello! Can I use this library for Stomp ?,support_question,0.96,feature_request,0.02
424,issue,closed,completed,,,2016-07-15,`path` option not working.,support_question,0.94,defect_fixed_or_obsolete,0.05
425,issue,closed,completed,,unconfirmed,2016-07-15,"""Got unknown error from server Welcome to socket.io.""",support_question,0.95,defect_fixed_or_obsolete,0.03
426,issue,closed,completed,,,2016-07-18,"Regular crashes in func stream(aStream: NSStream, handleEvent eventCode: NSStreamEvent)",defect_fixed_or_obsolete,0.65,defect_current,0.31
427,pr,closed,,yes,,2016-07-20,Xcode 8 Beta 3,build_packaging_env,0.8,pr_non_functional,0.14
428,issue,closed,completed,,invalid,2016-07-20,"I added socket.io-client-swift in oc project, import the Source folder after being given webscoketdemo-swift.h: 197: 12: Type argument 'SecKeyRef' (aka 'struct __SecKey *') is neither an Objective-C object nor a block type, how to solve?",duplicate_invalid_spam,0.88,build_packaging_env,0.1
429,issue,closed,completed,,unconfirmed,2016-07-20,Not cloning socket.io-client-swift,build_packaging_env,0.87,defect_fixed_or_obsolete,0.12
430,issue,closed,completed,,,2016-07-20,Compiler errors in xcode beta 3,defect_fixed_or_obsolete,0.49,build_packaging_env,0.49
431,issue,closed,completed,,invalid,2016-07-21,closeConnection Socket.io related problem!,duplicate_invalid_spam,0.69,insufficient_evidence,0.09
432,issue,closed,completed,,,2016-07-22,Xcode 8 and carthage - fails to build,build_packaging_env,0.74,defect_fixed_or_obsolete,0.26
433,issue,closed,completed,,invalid,2016-07-22,Keep socket connection alive when iphone is on lock screen (UIApplicationStateInactive).,support_question,0.73,duplicate_invalid_spam,0.18
434,issue,closed,completed,,,2016-07-22,I just pulled the latest code and I'm now getting compilation errors,defect_fixed_or_obsolete,0.59,build_packaging_env,0.36
435,issue,closed,completed,,,2016-07-24,No code signature found,build_packaging_env,0.91,support_question,0.08
436,pr,closed,,yes,,2016-07-25,Development,build_packaging_env,0.36,defect_fixed_or_obsolete,0.31
437,issue,closed,completed,,in progress,2016-07-27,xcode 8 errors,build_packaging_env,0.76,defect_fixed_or_obsolete,0.23
438,pr,closed,,yes,,2016-07-28,Fix errors with force unwrapping optionals,defect_fixed_or_obsolete,0.8,build_packaging_env,0.13
439,issue,closed,completed,,question,2016-07-28,Client is stuck on 'Connecting' status,support_question,0.93,defect_fixed_or_obsolete,0.04
440,issue,closed,completed,,,2016-07-31,Cannot get it working with SSL,support_question,0.97,defect_current,0.02
441,issue,closed,completed,,,2016-08-01,plz help~ issue: always assertions socket try close a not connect client,support_question,0.96,defect_current,0.03
442,issue,open,,,bug|unconfirmed,2016-08-03,Reconnect Events stop firing once the socket is disconnected and connected again.,defect_current,0.91,support_question,0.08
443,pr,closed,,no,,2016-08-05,Now working with Carthage and XCode 8 beta 4,build_packaging_env,0.81,defect_fixed_or_obsolete,0.11
444,issue,closed,completed,,,2016-08-05,(SIGTRAP) TRAP_BRKPT,defect_current,0.71,defect_fixed_or_obsolete,0.22
445,issue,closed,completed,,,2016-08-08,SSL pinning not working for me,support_question,0.95,defect_current,0.05
446,issue,closed,completed,,,2016-08-08,SEGV_MAPERR: App crashes,defect_current,0.68,defect_fixed_or_obsolete,0.27
447,issue,closed,completed,,bug|patched,2016-08-08,swift3-branch: issue with extension method redeclaration,defect_fixed_or_obsolete,0.8,build_packaging_env,0.18
448,issue,closed,completed,,,2016-08-09,App crashes when I receive huge data from server,defect_current,0.71,defect_fixed_or_obsolete,0.27
449,issue,closed,completed,,question,2016-08-10,Forcing websockets.,support_question,1,defect_fixed_or_obsolete,0
450,issue,closed,completed,,,2016-08-10,Single swift client creates excessive sockets on server in bad network.,support_question,0.66,defect_current,0.3
451,issue,closed,completed,,,2016-08-11,"socket on:@""connect"" this function  In some cases may not work",support_question,0.92,defect_fixed_or_obsolete,0.08
452,issue,closed,completed,,,2016-08-11,"Re-using socket after seeing NSPOSIXErrorDomain, code: 57.",defect_current,0.69,defect_fixed_or_obsolete,0.18
453,issue,closed,completed,,,2016-08-12,"If the socket connection is broken , the method in which it can be reconnected ?",support_question,0.99,insufficient_evidence,0.01
454,pr,closed,,no,,2016-08-14,swift compile time optimizations,build_packaging_env,0.68,pr_non_functional,0.21
455,pr,closed,,yes,,2016-08-15,Fixing inconsistent module names across iOS & tvOS,build_packaging_env,0.77,pr_non_functional,0.21
456,issue,closed,completed,,question,2016-08-15,"I can't receive @""disconnect"" event.",support_question,0.99,defect_fixed_or_obsolete,0.01
457,issue,closed,completed,,,2016-08-18,Why I can't use SSLSecurity successfully?,support_question,1,pr_non_functional,0
458,issue,closed,completed,,question,2016-08-18,Socket emit is not working,support_question,1,pr_non_functional,0
459,issue,closed,completed,,,2016-08-20,"Event ""connect"" not fires",support_question,0.9400000000000001,defect_fixed_or_obsolete,0.06
460,issue,closed,completed,,,2016-08-20,Crash EXC_BAD_ACCESS KERN_INVALID_ADDRESS,defect_current,0.65,defect_fixed_or_obsolete,0.32
461,issue,closed,completed,,,2016-08-20,CoreFoundation crash EXC_BAD_ACCESS KERN_INVALID_ADDRESS,defect_current,0.54,insufficient_evidence,0.35
462,issue,closed,completed,,,2016-08-20,Swift 3 branch not compiling,build_packaging_env,0.68,defect_fixed_or_obsolete,0.31
463,issue,closed,completed,,,2016-08-22,Crash in SocketEngineSpec and SocketEngine,defect_fixed_or_obsolete,0.74,defect_current,0.2
464,issue,closed,completed,,,2016-08-23,Error when using @import SocketIOClientSwift;,build_packaging_env,0.91,defect_fixed_or_obsolete,0.08
465,issue,open,,,,2016-08-23,Engine URLSession became invalid,defect_current,0.55,support_question,0.44
466,pr,closed,,yes,,2016-08-23,Switch to using Any instead of AnyObject,pr_functional,0.67,pr_non_functional,0.22
467,issue,closed,completed,,question,2016-08-24,Pattern for repeat emit?,support_question,1,pr_non_functional,0
468,issue,closed,completed,,question,2016-08-26,Power consumption implications.,support_question,1,pr_non_functional,0
469,issue,closed,completed,,,2016-08-27,this can emit Images to server side?,support_question,0.99,feature_request,0.01
470,issue,closed,completed,,enhancement|done,2016-08-27,Possibility to reconnect with a different URL,feature_request,0.99,defect_fixed_or_obsolete,0.01
471,issue,closed,completed,,,2016-08-27,Examples on how to use binary from an iOS client to a Node.js server,support_question,0.79,docs_gap,0.21
472,issue,closed,completed,,bug|patched,2016-08-28,Disconnecting a socket does not stop reconnection attempts,defect_fixed_or_obsolete,0.8,defect_current,0.18
473,issue,closed,completed,,bug|patched,2016-08-29,Produces an error: open packet contained no sid,defect_fixed_or_obsolete,0.91,defect_current,0.09
474,issue,closed,completed,,,2016-08-29,Missing description under title,insufficient_evidence,0.73,duplicate_invalid_spam,0.24
475,issue,closed,completed,,bug|patched,2016-08-29,I can`t import .h at Objective-C project,build_packaging_env,0.68,defect_fixed_or_obsolete,0.32
476,issue,closed,completed,,,2016-08-29,Some Wrong about socket.io,support_question,0.92,defect_fixed_or_obsolete,0.07
477,issue,closed,completed,,,2016-08-31,Cross Platform Connection Issue,support_question,0.97,duplicate_invalid_spam,0.03
478,issue,closed,completed,,,2016-09-01,Strange crash everytime on iPhone 4S,defect_fixed_or_obsolete,0.51,defect_current,0.38
479,pr,closed,,yes,,2016-09-02,Modify mac version base mac os 10.9,pr_non_functional,0.75,build_packaging_env,0.25
480,issue,closed,completed,,,2016-09-02,Data is nil in the Client method (socket.on),support_question,0.89,defect_fixed_or_obsolete,0.08
481,issue,closed,completed,,question,2016-09-05,Does it support ipv6 ?,support_question,1,defect_current,0
482,issue,closed,completed,,,2016-09-07,"socketIO for Swift 3 seems to connect, but never gives connect event",defect_fixed_or_obsolete,0.6,defect_current,0.2
483,issue,closed,completed,,,2016-09-07,Not able to connect after updating to latest version.,insufficient_evidence,0.41000000000000003,defect_fixed_or_obsolete,0.28
484,pr,closed,,yes,,2016-09-07,Xcode 8 GM,build_packaging_env,0.63,pr_functional,0.25
485,issue,closed,completed,,,2016-09-08,Binary data received is being truncated.,defect_fixed_or_obsolete,0.85,defect_current,0.13
486,pr,closed,,yes,,2016-09-08,"Fix truncation of binary data, use range operator for clarity",defect_fixed_or_obsolete,0.73,pr_functional,0.25
487,issue,closed,completed,,,2016-09-08,swift3 branch compile errors,build_packaging_env,0.65,defect_fixed_or_obsolete,0.2
488,issue,closed,completed,,,2016-09-10,Send request body when connecting socket,feature_request,0.96,support_question,0.03
489,pr,closed,,no,,2016-09-11,Propagate websocket connected event to SocketIOClientStatus when forced websocket connection,pr_functional,0.51,defect_current,0.42
490,pr,closed,,yes,,2016-09-12,Swift2.3,build_packaging_env,0.47000000000000003,pr_non_functional,0.44
491,issue,closed,completed,,,2016-09-14,Double connect on the server,defect_current,0.74,insufficient_evidence,0.2
492,issue,closed,completed,,,2016-09-14,It can't work in the Xcode8 version.,build_packaging_env,0.95,defect_fixed_or_obsolete,0.04
493,issue,closed,completed,,,2016-09-14,SSLSecurity.swift error,defect_fixed_or_obsolete,0.6900000000000001,build_packaging_env,0.31
494,issue,closed,completed,,,2016-09-15,My App Objective-C (base) + swift code crash at launch in release mode.,build_packaging_env,0.52,insufficient_evidence,0.2
495,issue,closed,completed,,,2016-09-16,Detailed description on releases?,docs_gap,0.92,feature_request,0.05
496,issue,closed,completed,,,2016-09-16,Swift 3 Log levels seem to always be on,support_question,0.46,defect_fixed_or_obsolete,0.38
497,issue,closed,completed,,,2016-09-16,ERROR SocketIOClient: Got unknown error from server,support_question,0.74,defect_fixed_or_obsolete,0.19
498,issue,closed,completed,,,2016-09-17,"Cannot set sessionDelegate() to self, to handle self signed certificate",support_question,0.78,build_packaging_env,0.09
499,issue,closed,completed,,,2016-09-18,Is it support swift 3？,build_packaging_env,0.92,support_question,0.04
500,issue,closed,completed,,,2016-09-18,Is it support swift 3？,build_packaging_env,0.83,defect_fixed_or_obsolete,0.12
501,issue,closed,completed,,,2016-09-19,Sorry,duplicate_invalid_spam,0.79,insufficient_evidence,0.21
502,issue,closed,completed,,,2016-09-19,disconnect crashed at ios10,build_packaging_env,0.68,defect_fixed_or_obsolete,0.25
503,issue,closed,completed,,,2016-09-20,Declare configs on Swift 2.3,support_question,0.89,defect_fixed_or_obsolete,0.1
504,issue,closed,completed,,,2016-09-20,dyld: Library not loaded,build_packaging_env,0.95,defect_fixed_or_obsolete,0.04
505,issue,closed,completed,,,2016-09-20,8.0.1 crash,support_question,0.39999999999999997,defect_fixed_or_obsolete,0.25
506,issue,closed,completed,,,2016-09-20,Could not build Objective-C module 'SocketIO',build_packaging_env,0.84,defect_fixed_or_obsolete,0.11
507,issue,closed,completed,,,2016-09-20,Swift 3 SocketIO Connecting But Not Working with Python Flask Gevent Server,support_question,0.9,defect_fixed_or_obsolete,0.1
508,issue,closed,completed,,,2016-09-21,Could not build Objective-C module 'SocketIO',build_packaging_env,0.88,defect_fixed_or_obsolete,0.11
509,issue,closed,completed,,,2016-09-23,"Argument labels '(socketURL:, options:)' do not match any available overloads",support_question,0.83,defect_fixed_or_obsolete,0.13
510,issue,closed,completed,,,2016-09-23,SocketIOClient for Object-c couldn't init,support_question,0.73,build_packaging_env,0.11
511,issue,closed,completed,,,2016-09-23,Nested JSON objects received as NSString,defect_current,0.35000000000000003,defect_fixed_or_obsolete,0.3
512,issue,closed,completed,,,2016-09-24,ERROR SocketEngine: Engine URLSession became invalid,support_question,0.51,defect_fixed_or_obsolete,0.49
513,issue,closed,completed,,,2016-09-26,Cannot init Swift 3,build_packaging_env,0.77,defect_fixed_or_obsolete,0.12
514,issue,closed,completed,,,2016-09-27,Need to convert again after pod install,build_packaging_env,0.91,defect_fixed_or_obsolete,0.08
515,pr,closed,,no,,2016-09-27,Fix crash,defect_current,0.42,pr_functional,0.28
516,issue,closed,completed,,,2016-09-27,New crash,defect_fixed_or_obsolete,0.76,defect_current,0.23
517,issue,closed,completed,,,2016-09-27,How to cancel in-flight emitWithAck,feature_request,0.72,support_question,0.23
518,issue,closed,completed,,,2016-09-28,Build error on Xcode 8.1,build_packaging_env,0.96,defect_fixed_or_obsolete,0.04
519,issue,closed,completed,,,2016-09-28,can no longer override isvalid on SSLSecurity,feature_request,0.87,defect_fixed_or_obsolete,0.07
520,pr,closed,,no,,2016-09-28,Update SSLSecurity.swift,pr_functional,0.71,feature_request,0.28
521,issue,closed,completed,,bug,2016-09-29,Crash problem,defect_current,0.91,defect_fixed_or_obsolete,0.08
522,issue,closed,completed,,,2016-09-29,"Emit is not firing the event , No result . Log showing Got message: 3",support_question,0.97,defect_fixed_or_obsolete,0.02
523,pr,closed,,no,,2016-09-29,Fixed parameter names in documentation,pr_non_functional,0.86,docs_gap,0.13
524,pr,closed,,no,,2016-09-29,change sslsecurity and isvalid to open,pr_functional,0.54,feature_request,0.39
525,issue,closed,completed,,,2016-09-29,Secure Socket over mobile network,support_question,1,insufficient_evidence,0
526,issue,closed,completed,,,2016-09-30,Swift 3 Issues,build_packaging_env,0.88,defect_fixed_or_obsolete,0.1
527,issue,closed,completed,,,2016-10-03,bad access accessing sectrust in isvalid,defect_fixed_or_obsolete,0.89,defect_current,0.09
528,issue,closed,completed,,,2016-10-03,Swift2.3 can't use,build_packaging_env,0.52,defect_fixed_or_obsolete,0.47
529,issue,closed,completed,,,2016-10-04,Socket.emit,support_question,0.99,defect_fixed_or_obsolete,0.01
530,issue,closed,completed,,invalid,2016-10-05,Socket.io swift in Objective-C project not working,support_question,0.9,defect_fixed_or_obsolete,0.04
531,issue,open,,,in progress|unconfirmed,2016-10-05,Multiple data races found by Xcode Thread Sanitizer,defect_current,0.9,insufficient_evidence,0.07
532,issue,closed,completed,,,2016-10-05,"Error with data : [""Got unknown error from server Welcome to socket.io.""]",defect_fixed_or_obsolete,0.51,support_question,0.49
533,issue,closed,completed,,,2016-10-05,No visible @interface for SocketIOClient delcares emitWithAck:withItems,docs_gap,0.6,support_question,0.25
534,issue,closed,completed,,,2016-10-05,why not compatible with armv7. in Xcode 8 and,build_packaging_env,0.88,defect_fixed_or_obsolete,0.1
535,issue,closed,completed,,,2016-10-05,Module SocketIO not found,build_packaging_env,0.97,defect_fixed_or_obsolete,0.03
536,issue,closed,completed,,,2016-10-07,UnsafeMutablePointer.moveInitializeFrom with negative count,defect_current,0.52,defect_fixed_or_obsolete,0.26
537,issue,closed,completed,,,2016-10-08,No longer support iOS7?,support_question,0.52,defect_fixed_or_obsolete,0.35
538,issue,closed,completed,,,2016-10-10,SWIFT 3.0 VERSION ISSUES,defect_fixed_or_obsolete,0.51,build_packaging_env,0.45
539,issue,closed,completed,,,2016-10-12,Xcode 8 Errors,build_packaging_env,0.65,defect_fixed_or_obsolete,0.28
540,issue,closed,completed,,,2016-10-14,Q: WatchOS 3 support,feature_request,0.76,support_question,0.23
541,issue,closed,completed,,,2016-10-15,createRequestForPostWithPostWait causes a Crash,defect_fixed_or_obsolete,0.71,defect_current,0.29
542,issue,closed,completed,,,2016-10-18,crash on Xcode 8.1 beta 3,defect_fixed_or_obsolete,0.58,build_packaging_env,0.33
543,pr,closed,,no,,2016-10-18,fix Use Legacy Swift issue,build_packaging_env,0.64,pr_non_functional,0.32
544,pr,closed,,yes,,2016-10-18,fix Use Legacy Swift issue,build_packaging_env,0.61,pr_non_functional,0.32
545,issue,closed,completed,,,2016-10-19,"Objective C,auto Disconnect after first connect.",support_question,0.87,defect_current,0.06
546,issue,closed,completed,,,2016-10-20,Background Connect,support_question,0.94,feature_request,0.04
547,issue,closed,completed,,,2016-10-20,Crashes with Xcode 8,defect_fixed_or_obsolete,0.49,support_question,0.44
548,issue,closed,completed,,,2016-10-20,[Xcode 8] Cannot run Unit Tests after installation via Carthage,build_packaging_env,0.9400000000000001,defect_fixed_or_obsolete,0.06
549,issue,closed,completed,,,2016-10-21,Crash due to race condition in SocketEngine.createWebsocketAndConnect,defect_fixed_or_obsolete,0.53,defect_current,0.47
550,issue,closed,completed,,,2016-10-21,socket.io-client-swift optimize upload image speed,support_question,0.96,feature_request,0.04
551,issue,closed,completed,,question,2016-10-21,file upload in socket.io,support_question,1,pr_functional,0
552,issue,open,,,,2016-10-25,Crash on init because of sessionDelegate parameter,defect_current,0.65,support_question,0.25
553,issue,closed,completed,,,2016-10-25,Xcode 8 + Swift 2.3,build_packaging_env,0.51,defect_fixed_or_obsolete,0.42
554,issue,open,,,,2016-10-28,emitWithAck and timeout behavior,defect_current,0.8,support_question,0.19
555,issue,closed,completed,,,2016-10-28,Objective-C - emitWithAck:with:timeOutAfter:callback selector not available,docs_gap,0.75,defect_fixed_or_obsolete,0.15
556,issue,closed,completed,,,2016-10-28,Last iOS version Swift3 compatible not accessible via Cocoapods,defect_fixed_or_obsolete,0.81,build_packaging_env,0.19
557,pr,closed,,yes,,2016-10-28,add SocketAckEmitter.expected to indicate if an ack is expected by server,pr_functional,0.96,feature_request,0.04
558,issue,closed,completed,,,2016-10-28,clang: error: no such file or directory: 'NotificationCenter',build_packaging_env,0.93,insufficient_evidence,0.05
559,issue,closed,completed,,question,2016-10-30,Module 'SocketIO' not found,build_packaging_env,0.94,support_question,0.04
560,issue,closed,completed,,,2016-11-01,Crash at init on Xcode 8.1 with Swift 3.0.1,defect_fixed_or_obsolete,0.5700000000000001,build_packaging_env,0.42
561,issue,closed,completed,,,2016-11-02,"if write use_frameworks! in cocopods,the network indicator will never end",support_question,0.38,build_packaging_env,0.31
562,issue,closed,completed,,bug|patched,2016-11-04,My app is keep crashing at engineDidClose () (SocketIOClient.swift:258),defect_fixed_or_obsolete,0.95,defect_current,0.05
563,issue,open,,,,2016-11-07,Crash when socket is closed by the server,defect_fixed_or_obsolete,0.8,defect_current,0.16
564,issue,open,,,,2016-11-07,"(URGENT)(Objective-C) After successful connection, Emit is causing Disconnection with server.",defect_current,0.72,support_question,0.2
565,issue,open,,,,2016-11-07,acknowledgement times out on simulatneous multiple socket.emitwithack or socket.onany,defect_current,1,defect_fixed_or_obsolete,0
566,issue,closed,completed,,,2016-11-07,I have problem with swift 2.3 in xcode 8.1,build_packaging_env,0.62,defect_fixed_or_obsolete,0.32
567,issue,closed,completed,,,2016-11-08,Crash swift_unknownRetain,defect_fixed_or_obsolete,0.83,defect_current,0.11
568,issue,closed,completed,,,2016-11-08,Description under title,duplicate_invalid_spam,0.64,insufficient_evidence,0.31
569,issue,closed,completed,,,2016-11-09,Socket emit issue,support_question,0.98,defect_fixed_or_obsolete,0.01
570,issue,closed,completed,,,2016-11-09,How to upload image to server,support_question,1,defect_fixed_or_obsolete,0
571,issue,closed,completed,,,2016-11-09,Can't emit a dictionary,feature_request,0.9400000000000001,support_question,0.04
572,pr,closed,,no,,2016-11-09,Non array data,pr_functional,0.84,feature_request,0.11
573,issue,closed,completed,,,2016-11-14,Connect Local server through SSL,support_question,1,defect_fixed_or_obsolete,0
574,issue,closed,completed,,question,2016-11-14,How to send token with objective c code?,support_question,1,defect_fixed_or_obsolete,0
575,issue,closed,completed,,,2016-11-16,Object C usage No Authorization header was found.,support_question,0.99,defect_fixed_or_obsolete,0.01
